game_name,min_cpu,min_gpu,min_ram,min_dx,min_os,min_sto,min_net,rec_cpu,rec_gpu,rec_ram,rec_dx,rec_os,rec_sto,rec_net
Actraiser Renaissance,"AMD A8-7600, Intel® Core™ i3-3210","AMD Radeon™ R7 240, NVIDIA® GeForce® GT 730",8 GB RAM,Version 11,Windows® 8.1 64-bit / Windows® 10 64-bit,5 GB available space,,"AMD Ryzen™ 3 1200, Intel® Core™ i5-3330","AMD Radeon™ R7 260X, NVIDIA® GeForce® GTX 750",8 GB RAM,Version 11,Windows® 8.1 64-bit / Windows® 10 64-bit,5 GB available space,
Ad Exitum,"Quad-core Intel or AMD, 2 GHz or faster",DirectX 10 compatible graphics card,4 GB RAM,,Windows 7/8 64-bit,2500 MB available space,,"Quad-core Intel or AMD, 2.5 GHz or faster",DirectX 11 compatible graphics card,8 GB RAM,,Windows 7/8/10 64-bit,2500 MB available space,
Ad Infinitum,Intel Core i5-8400 or AMD Ryzen 5 1600X,"NVIDIA GeForce GTX 660, 2 GB or AMD Radeon HD 7850, 2 GB or Intel Arc A380, 6 GB",12 GB RAM,Version 11,"Windows 10, 64-bit",21 GB available space,,,,,,,,
Adam Syndrome,,,,,,,,,,,,,,
Adam Wolfe,1.5 GHz,Graphics card with DirectX 9 level (shader model 2.0) capabilities,1 GB RAM,Version 9.0,Windows XP/Windows Vista/Windows 7/Windows 8/Windows 10,1.7 GB available space,,2.0 GHz,Graphics card with DirectX 9 level (shader model 2.0) capabilities,2 GB RAM,Version 9.0,Windows XP/Windows Vista/Windows 7/Windows 8/Windows 10,1.7 GB available space,
Adorables,1 GHz,(Any),1 GB RAM,,Windows XP,120 MB available space,,2 GHz,(Any),1 GB RAM,,Windows 7,120 MB available space,
Adore,Intel(R) Core(TM) 2 Duo CPU E8400 @ 3.00Hz,NVIDIA GTX 260 | ATI Radeon HD 4800 Series,4 GB RAM,Version 11,Windows 7,4 GB available space,,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHZ,Geforce GTX 660,4 GB RAM,Version 11,Windows 10,4 GB available space,
ADR1FT,Intel Core 2 Quad CPU Q9550 @ 2.83 GHz / AMD Phenom 9850 @ 2.5 GHz,NVIDIA GTX 650 2GB or AMD HD7770 2GB,8 GB RAM,Version 11,Windows 64 bits,6000 MB available space,,Intel i5 4570 @ 3.2 GHz / AMD Phenom II 945 @ 3.0 GHz,NVIDIA GTX 970 / AMD R9 290 equivalent or greater,16 GB RAM,Version 11,Windows 10 64 bits,6000 MB available space,
Advent Rising,2.0 GHz Processor,128 MB ATI 9000 or higher or 128 MB GeForce 3 or higher (except GeForce 4 MX),256 MB of RAM,DirectX 9.0 (included with download),Windows 2000/XP,5.5 GB Minimum Hard Drive Space,,3.4 GHz Processor,256 MB GeForce FX 5600 or higher or ATI Radeon 9600 or higher,512 MB of RAM,DirectX 9.0 (included with download),Windows 2000/XP,5.5 GB Minimum Hard Drive Space,
AdVenture Capitalist,(Any),(Any),512 MB RAM,Version 9.0,Windows XP,60 MB available space,,,,,,,,
Adventure Craft,Intel Core 2 Duo 2.5GHz or equivalent processor,"Dedicated GPU with 256 MB memory, shader version 4 capable",512 MB RAM,Version 10,Microsoft® Windows® Vista or higher,700 MB available space,,Intel Core 2 Duo 2.8GHz or equivalent processor,Nvidia GeForce 8800/AMD Radeon HD 5670 or equivalent video card with 512 MB memory,1 GB RAM,Version 11,Microsoft® Windows® 7 or higher,700 MB available space,
Adventure Time: Pirates of the Enchiridion,Intel Core 2 Quad Q6600 (2.4 GHz) or AMD equivalent,GeForce GT 430 (1024 MB)/ Radeon HD 6850 (1024 MB),4 GB RAM,Version 9.0c,Windows 7 / 8 / 10,3 GB available space,,"Intel i5, 4 x 2.6 GHz or AMD equivalent",(Any),4 GB RAM,Version 11,Windows 10,5 GB available space,
Adventure Time: The Secret Of The Nameless Kingdom,Intel™ Pentium 4 2.4 ghz with Hyper Threading,"NVIDIA® Geforce 9600GT, AMD® Radeon™ HD 3870 or higher (it must be able to manage Pixel Shader 3.0) with at least 512MB of display memory",1 GB RAM,,"Windows®XP™ SP2, Windows®Vista™ or Windows®7",1 GB available space,,Intel™ Core 2 Duo / AMD™ Athlon 64 X2 or higher.,"NVIDIA® GeForce™ 200 series or higher, AMD® Radeon™ HD5000 series or higher (it must be able to manage Pixel Shader 3.0) with at least 512MB of display memory",4 GB RAM,,"Windows®XP™ SP2, Windows®Vista™ or Windows®7",2 GB available space,
AdventureQuest 3D,Dual Core 1.8GHZ or Single Core 3.0GHZ,512 MB,1 GB RAM,Version 9.0c,Windows 7,500 MB available space,Broadband Internet connection,Dual Core 2.66GHZ,1 GB,2 GB RAM,Version 9.0c,Windows 10,1 GB available space,
