game_name,min_cpu,min_gpu,min_ram,min_dx,min_os,min_sto,min_net,rec_cpu,rec_gpu,rec_ram,rec_dx,rec_os,rec_sto,rec_net
EverQuest Next: Landmark,Intel i5 Quad Core or higher / AMD Phenom II X4 or higher,"1GB VRAM, nVidia GeForce GTX 275 series or higher / AMD HD 4890 or higher",4GB RAM,,Windows 7 64 bit,20GB Free,Broadband (3Mbit/sec or higher),Intel i5 Quad Core or higher / AMD Phenom II X6 or higher,"1GB VRAM, nVidia GeForce GTX 560 series or higher / AMD HD 6870 or higher",8GB RAM,,Windows 7 64 bit,20GB Free,Broadband (10Mbit/sec or higher)
Everreach: Project Eden,Intel i3 Skylake or AMD FX-6000 series,Nvidia GeForce GTX 660 or AMD Radeon HD7870,6 GB RAM,Version 11,Windows 7 / 8 / 10,19 GB available space,,Intel Core i5 Skylake,Nvidia GeForce GTX 970/1660 TI or AMD Radeon RX 570/5700,8 GB RAM,Version 11,Windows 7 / 8 / 10,19 GB available space,
eversion,Single core 1GHz+,,64MB or more,,Windows XP or later,20 MB,,,,,,,,
Everspace,Intel CPU Core i3,Nvidia GTX 480 / AMD Radeon HD 5870,4 GB RAM,Version 10,32/64-bit Windows 7 / 8.1 / 10,12 GB available space,,Intel CPU Core i5,Nvidia GeForce GTX 770 / AMD Radeon R9 280X,8 GB RAM,Version 11,32/64-bit Windows 7 / 8.1 / 10,12 GB available space,
Everspace 2,Intel Core i5-2500K@2.9GHz or AMD FX 6300@2.9GHz,Nvidia GeForce GTX 780 (3 GB) or AMD Radeon R9 290 (4 GB),8 GB RAM,Version 11,Windows 10 64-bit,30 GB available space,,Intel Core i7-4770K@3.5GHz or Ryzen 5 1500X@3.5GHz,Nvidia GeForce GTX 1080 (8 GB) or AMD Radeon RX 5700 XT (8 GB),16 GB RAM,Version 12,Windows 10 64-bit,30 GB available space,
Everwild,,,,,,,,,,,,,,
Everybody's Gone to the Rapture,Intel Core i5-4570T 2.9 GHz / AMD FX-6100 3.3 GHz,NVIDIA GeForce GTX 560 Ti / AMD Radeon HD 6850,4 GB RAM,Version 11,"64-bit Windows 7, 64-bit Windows 8 (8.1) or 64-bit Windows 10",8 GB available space,,Intel Core i7-4770S 3.1 GHz / AMD FX-8320 3.5 GHz,NVIDIA GeForce GTX 770 / AMD Radeon HD 7970,8 GB RAM,Version 11,64-bit Windows 10,8 GB available space,
Everything,2 GHz Dual-Core 64-bit CPU,NVIDIA® GeForce® GTX 660 or AMD Radeon™ equivalent,8 GB RAM,Version 11,"64-Bit Windows 7 Service Pack 1, or Windows 8",2 GB available space,,,,,,,,
Everywhere,,,,,,,,,,,,,,
Evil Dead: The Game,Intel i5-7400 / Ryzen 5 1400,GTX 1060 6GB / RX 580 8GB,8 GB RAM,,Windows 10 64 bit,12 GB available space,Broadband Internet connection,Intel i7-7700 / Ryzen 5 2600X,GTX 1070 Ti / RX 5600 XT,16 GB RAM,,Windows 10 64 bit,12 GB available space,Broadband Internet connection
Evil Genius 2: World Domination,Intel Core i3-8100,"GeForce GT 1030 2GB, Radeon RX 550 2GB",8 GB RAM,,Windows 10,18 GB available space,,"Intel Core i7-4770K, AMD Ryzen 5 1600","GeForce GTX 1660 Super 6GB, Radeon RX 5700 8GB",8 GB RAM,,Windows 10,18 GB available space,
Evil Nun: The Broken Mask,Intel Core i3-2100 / AMD® FX-6300,NVIDIA® GeForce GTX 750 Ti / ATI Radeon HD 7950,2 GB RAM,,"Windows 7 64-bit, Windows 8.1, Windows 10",5 GB available space,,Intel Core i7-3770 / AMD® FX-8350,NVIDIA® GeForce GTX 970 / ATI Radeon R9 series,16 GB RAM,,"64-bit Windows 7, Windows 8.1, or Windows 10",5 GB available space,
Evil Park,Intel Core i3 / AMD FX 6300,NVIDIA GTX 560 Ti 1GB / AMD HD 6950,4 GB RAM,Version 11,"Windows 7, 8, 10 (64-bit Only)",3 GB available space,,,,,,,,
Evil West,Intel Core i5-2500K (3.3 GHz) / AMD FX-6300 X6 (3.5 GHz),"4 GB VRAM, GeForce GTX 750 Ti / Radeon RX 460",8 GB RAM,,Windows 10 (64 bits),40 GB available space,,Intel Core i5-10505 (3.2 GHz) / AMD Ryzen 5 1600 (3.2 GHz),GeForce GTX 1060 / Radeon RX 590,16 GB RAM,,Windows 10 (64 bits),40 GB available space,
Evoland,1.7 GHz single-core,Directx 9.0c compatible video card,1 GB RAM,9.0c,Windows XP SP2 or later,100 MB HD space,,2.5 GHz dual-core,Directx 9.0c compatible video card,2 GB RAM,9.0c,Windows 7,100 MB HD space,
Evoland 2,Intel 2.0ghz Core 2 Duo or equivalent,Nvidia 260 GTS / Radeon HD 4850 or better,4 GB RAM,Version 9.0c,Windows Vista or better,800 MB available space,,,,,,,,
Evolve,Core 2 Duo E6600 / Athlon 64 X2 6400,NVIDIA GeForce GTX 560 / ATI Radeon HD 5770,4GB,Version 11,Windows 7 64-bit,25 GB available space,,Core i7-920 / A8-3870K,NVIDIA GeForce GTX 670 / ATI Radeon R9 280,6GB,Version 11,Windows 7 64-bit,25 GB available space,
EXAPUNKS,2.0 GHz,(Any),4 GB RAM,Version 11,"Windows Vista / 7 / 8 / 10, 64-bit",660 MB available space,,,,,,,,
Excubitor,Intel Core i3-2100 (3.1 GHz) / AMD A10 5800k (3.8 GHz),GeForce GT 440 (1024 MB) / Radeon HD 4890 (1024 MB),4 GB RAM,Version 11,Windows 7/8/10,6 GB available space,,Intel Core i7-950 (3.0 GHz) / AMD FX-4300 (3.8 GHz),GeForce GTX 770 (2048 MB) / Radeon HD 7770 (1024 MB),4 GB RAM,Version 11,Windows 7/8/10 (64-bit),,
Executive Assault,i3,pixel shader 3.0,4 GB RAM,Version 9.0c,Windows 7 64-bit,2 GB available space,,i7,pixel shader 3.0,8 GB RAM,Version 10,Windows 7 64-bit,3 GB available space,
ExeKiller,,,,,,,,,,,,,,
Exit the Gungeon,Intel Core2 Duo E4500 (2 * 2200),GeForce 9600 GT (512 MB),4 GB RAM,,"Windows 7, 8, 8.1, 10 x64",500 MB available space,,Intel Core i3-2100 (2 * 3100) or equivalent,GeForce GTX 550Ti (1024 MB),4 GB RAM,,"Windows 7, 8, 8.1, 10 x64",500 MB available space,
Exo One,Intel Core i5 2ghz or AMD equivalent,NVIDIA GeForce 650 or higher with 1GB memory,4 GB RAM,Version 11,"Windows 10 or higher, 64-bit",5 GB available space,,Intel Core i7,NVIDIA GeForce 1060 or higher,8 GB RAM,Version 11,"Windows 10, 64 bit",5 GB available space,
Exodus From the Earth,"Intel® Pentium™ 1,8 GHz or AMD Athlon™ XP 1.8 GHz","3D Video card with 128 MB memory supporting DirectX® 9.0c, PS 2.0 (starting from NVIDIA GeForce FX 5700 or ATI RADEON 9600) with the latest driver installed",512 MB RAM,DirectX® 9.0 (included to the game DVD),Windows® XP or Windows® Vista,7 GB free space for the game + additionally for saved games,,Intel® Core™ 2 Duo E6600 or AMD Athlon™ 64 X2 4200+ (or other dual core processor of at least such performance level),"256 Mb video card ATI Radeon X1950Pro, GeForce 7950GT or analogue supporting pixel shaders 2.0 and DirectX® 9.0c compatible with the latest driver installed",2048 MB RAM,DirectX® 9.0 (included to the game DVD),Windows® XP or Windows® Vista,7 GB free space for the game + additionally for saved games,
Exomecha,,,,,,,,,,,,,,
Exophobia,2GHz+,128MB,2 GB RAM,Version 9.0,"Windows XP, Vista, 7, 8, or 10",200 MB available space,,,,,,,,
Exoprimal,Intel Core i5-7500 / AMD Ryzen 3 1200,NVIDIA GeForce GTX 1050 Ti with 4GB VRAM / AMD Radeon RX 560 with 4GB VRAM,8 GB RAM,Version 12,Windows 10 Version 20H2 (64bit),50 GB available space,Broadband Internet connection,Intel Core i7-8700K / AMD Ryzen 5 3600X,NVIDIA GeForce GTX 1070 / AMD Radeon RX 590,16 GB RAM,Version 12,Windows 10 Version 20H2 (64bit) or Windows 11,50 GB available space,Broadband Internet connection
Exorder,Intel Core 2 Duo E4700 2.6 GHz or AMD Phenom 9950 Quad Core 2.6 GHz,"1GB ATI Radeon HD 5770, 1GB NVIDIA GeForce GTX 460 or better",4 GB RAM,Version 11,"Windows® 7, 64-bit",1 GB available space,,3GHz Quad Core,"2GB ATI Radeon HD 7970, 2GB NVIDIA GeForce GTX 770 or better",8 GB RAM,Version 11,"Windows® 7, 64-bit",1 GB available space,
Expand,2.0 GHz,"GeForce 8800 or Radeon® HD4800 series, 512 MB of memory",512 MB RAM,,Windows Vista,300 MB available space,,,,,,,,
Expander,Core 2 Duo,SM3 512MB VRAM,2 GB RAM,Version 9.0,Windows 7,200 MB available space,,,,,,,,
Expeditions: A MudRunner Game,,,,,,,,,,,,,,
Expeditions: Conquistador,Dual Core 2.6 GHz or AMD64X2 2.6 GHz,"nVidia GeForce 8600 GT or higher, ATI Radeon X1800 or higher, min. 256 MB VideoRAM, Shader Model 3.0",2 GB RAM,9.0c,Win / iOS / Linux Ubuntu 13.04,,,"Intel Core 2 Duo E8400 or higher, AMD Phenom X3 8750 or higher","nVidia GeForce 280 GTX or higher, ATI Radeon HD4870 or higher, 512 MB VideoRAM, Shader Model 3.0",4 GB RAM,9.0c,Win / iOS / Linux Ubuntu 13.04,,
Expeditions: Rome,AMD FX-8350 X8 / Intel i5-4690K,AMD R9 380 4GB / GTX 960 4GB,8 GB RAM,Version 11,"Windows 7, 10 (64-bit)",30 GB available space,,Ryzen 5 3600X / Intel Core i5-9500F,AMD RX Vega 56 8GB / GTX 1070 8GB,16 GB RAM,Version 11,Windows 10 (64-bit),30 GB available space,
Expeditions: Viking,Intel Core2 Quad Q9400 2.66 GHz,NVIDIA GeForce GTS 450,4 GB RAM,Version 11,Windows 7,12 GB available space,,Intel Core i7 3.4GHz,Nvidia GTX 660,8 GB RAM,Version 11,Windows 10,12 GB available space,
Explodemon,Dual Core 1.6Ghz,256MB or more VRAM NVIDIA GeForce 8000-series or better / ATI Radeon HD 2000-series or better,1GB or greater of RAM (2GB for Vista/Win7),9.0c or better,"Windows XP SP2, Vista, Win7",2.75GB free space for install (688MB download size),,,,,,,,
Extinction,Intel Core i5-760 2.8 GHz / AMD Athlon X4 740 3.2 GHz,NVIDIA GeForce GTX 660 (2 GB VRAM) / AMD Radeon HD 7870 (2 GB VRAM),8 GB RAM,Version 11,Windows 7/8.1/10 (64-bit Required),3 GB available space,,Intel Core i7-4771 3.5 GHz / AMD FX-9370 4.4 GHz,NVIDIA GeForce GTX 970 (4 GB VRAM) / AMD Radeon RX 470 (4 GB VRAM),8 GB RAM,Version 11,Windows 7/8.1/10 (64-bit Required),3 GB available space,
EXZEAL,Intel Atom (Cherry Trail),Intel HD Graphics,512 MB RAM,Version 9.0c,Windows 7/8/10,500 MB available space,,Multicore CPU(Corei series or better),GeForce 300 or better,1 GB RAM,Version 9.0c,Windows 7/8/10,500 MB available space,
F.E.A.R. 2: Project Origin,P4 2.8GHz (3.2GHz Vista)/Athlon 64 3000+ (3200+ Vista),Fully DX9-compliant graphics card with 256MB (SM 2.0b). NVidia 6800 or ATI X700,1GB (1.5GB Vista),DirectX 9.0c,Windows XP SP2/Vista SP1,12GB,Broadband,Core 2 Duo 2.2GHz processor family/Athlon 64 X2 4400+ (required for MP host),Fully DX9-compliant graphics card with 512MB (SM 3.0). NVidia 8600 GTS or ATI HD 2900 XT,1.5GB,DirectX 9.0c,Windows XP SP3/Vista SP1,12GB,Broadband (768kbit/sec upstream required to host 16 players)
F.E.A.R. 3,"Intel Core 2 Duo 2.4Ghz, AMD Athlon X2 4800+","NVIDIA 8800 GT 512MB RAM, ATI 3850HD 512Mb RAM or better",2GB,DirectX 9.0c,Windows XP,4.4GB,,"Intel Core 2 Duo 2.93Ghz+, Intel quad core 2.66Ghz+, AMD Phenom II X2 550, 3.1Ghz+","NVIDIA 9800 GTX+ 512MB RAM, ATI 5750HD 512Mb RAM or better",4GB,DirectX 11,Windows 7,10.0GB,
F.E.A.R. Combat,Pentium(R) 4 1.7 GHz or equivalent processor,64MB GeForce(TM) 4 Ti or Radeon(R) 9000 video card,512MB RAM or more,DirectX(R) 9.0c August Edition (Included) or higher,"Windows(R) XP, x64 or 2000 with latest service pack installed",5.0 GB free hard drive space for installation Additional hard drive space for a swap file and saved game files,Broadband or LAN connection for multiplayer games,Pentium(R) 4 3.0 GHz or equivalent processor,"256 MB Radeon(R) 9800 Pro, GeForce(TM) 6600 or equivalent DirectX(R) 9 compliant video card with hardware T&L and pixel shader 2.0 support",1 GB RAM,DirectX(R) 9.0c August Edition (Included) or higher,"Windows(R) XP, x64 or 2000 with latest service pack installed",5.0 GB free hard drive space for installation Additional hard drive space for a swap file and saved game files,Broadband or LAN connection for multiplayer games
F.E.A.R. Extraction Point,Pentium(R) 4 1.7 GHz or equivalent processor,64 MB GeForce(R) 4 Ti or Radeon(R) 9000 video card,512 MB RAM or more,DirectX(R) 9.0c August Edition (Included) or higher,"Windows(R) XP, x64 or 2000 with latest service pack installed",3.5 GB free hard drive space for installation (in addition to FEAR) Additional hard drive space for a swap file and saved game files,Broadband or LAN connection for multiplayer games,Pentium(R) 4 3.0 GHz or equivalent processor,"256 MB Radeon(R) 9800 Pro, GeForce(R) 6600 or equivalent DirectX(R) 9 compliant video card with Hardware T&L and pixel shader 2.0 support",1 GB RAM,DirectX(R) 9.0c August Edition (Included) or higher,"Windows(R) XP, x64 or 2000 with latest service pack installed",3.5 GB free hard drive space for installation (in addition to FEAR) Additional hard drive space for a swap file and saved game files,Broadband or LAN connection for multiplayer games
F.E.A.R. First Encounter Assault Recon,Pentium(R) 4 1.7 GHz or equivalent processor,64MB GeForce(TM) 4 Ti or Radeon(R) 9000 video card*,512MB RAM or more,DirectX(R) 9.0c August Edition (Included) or higher,"Windows(R) XP, x64 or 2000 with latest service pack installed",5.0 GB free hard drive space for installation Additional hard drive space for a swap file and saved game files,Broadband or LAN connection for multiplayer games,Pentium(R) 4 3.0 GHz or equivalent processor,"256 MB Radeon(R) 9800 Pro, GeForce(TM) 6600 or equivalent DirectX(R) 9 compliant video card with hardware T&L and pixel shader 2.0 support *",1 GB RAM,DirectX(R) 9.0c August Edition (Included) or higher,"Windows(R) XP, x64 or 2000 with latest service pack installed",5.0 GB free hard drive space for installation Additional hard drive space for a swap file and saved game files,Broadband or LAN connection for multiplayer games
F.E.A.R. Online,Pentium IV 3.2GHz,GeForce 6600GT 512MB,1 GB RAM,,Windows XP SP2,10 GB available space,,Dual Core 2.4 GHz,GeForce 8600GT 1GB,2 GB RAM,,Windows 7 (32bit/64bit),10 GB available space,
F.E.A.R. Perseus Mandate,Pentium® 4 1.7 GHz or equivalent processor (2.2 GHz for Windows Vista™),64 MB GeForce(R) 4 Ti or Radeon(R) 9000 video card (GeForce(R) 6600 or Radeon(R) 9800 video card or equivalent for Windows Vista(TM)),512 MB of RAM or more (1GB for Windows Vista™),DirectX® 9.0c (August 2005 Edition) or higher,"Windows® XP, x64 or 2000 with latest service pack installed or Windows Vista™",16 GB free Hard Drive Space for installation of all 3 games +Additional hard drive space needed for a swap file and saved game files,Broadband or LAN Connection for Multiplayer games,Pentium® 4 3.0 GHz or equivalent processor (3.2 GHz for Windows Vista™),GeForce(R) FX 6600 or equivalent supported DirectX(R) 9.0-compliant video card with Hardware T&L and Pixel Shader 2.0 support (GeForce(R) FX 6800 or equivalent for Windows Vista(TM)),1 GB RAM (2GB for Windows Vista™),DirectX® 9.0c (August 2005 Edition) or higher,"Windows® XP, x64 or 2000 with latest service pack installed or Windows Vista™",16 GB free Hard Drive Space for installation of all 3 games +Additional hard drive space needed for a swap file and saved game files,Broadband or LAN Connection for Multiplayer games
F.I.S.T.: Forged In Shadow Torch,Intel Core i5-6400 or AMD FX 8320,NVIDIA GTX 960 or AMD Radeon R9 280,8 GB RAM,,"Windows 10 version 1903, 64-bit",25 GB available space,,Intel Core i5-6400,NVIDIA GTX 1060 6GB,16 GB RAM,,"Windows 10 version 1903, 64-bit",25 GB available space,
F1 2010,Intel Core 2 Duo @ 2.4GHz or Athlon X2,GeForce 7800 / Radeon X1800 or above,1GB RAM (2GB for Vista),DirectX 9.0c,Windows XP/Vista/7,12.5 GB Hard Drive Space,,,,,,,,
F1 2011,Intel Core 2 Duo @ 2.4Ghz or AMD Athlon X2 5400+,GeForce 7800/Radeon X1800 or higher,2GB Ram,DirectX 9.0c,Windows XP/Vista/7,12.5 GB Hard Drive Space,Broadband internet connection required (512kbps+ recommended) TCP/IP Network,Intel Core i5 or AMD Phenom II x4,GeForce GTX460 or ATI Radeon HD 5850,4GB Ram,DirectX 11,Windows 7,12.5 GB Hard Drive Space,Broadband internet connection required (512kbps+ recommended) TCP/IP Network
F1 2012,Intel Core 2 Duo @ 2.4Ghz or AMD Athlon X2 5400+,AMD HD2600 or NVIDIA Geforce 8600,2 GB RAM,,Windows Vista or Windows 7,,,AMD Bulldozer or Intel Core i7,AMD HD6000 Series or Nvidia GTX500 Series,4GB RAM,,Windows Vista or Windows 7 64 bit,,
F1 2013,Intel Core 2 Duo @ 2.4Ghz or AMD Athlon X2,AMD HD2600 or NVIDIA Geforce 8600,2 GB RAM,11,Windows Vista or Windows 7,15 GB available space,Broadband Internet connection,Intel Core i7/AMD Bulldozer,AMD HD6000 Series/Nvidia GTX500 Series minimum 1GB RAM,4 GB RAM,11,Windows Vista or Windows 7 64 bit,15 GB available space,Broadband Internet connection
F1 2014,Intel Core 2 Duo @ 2.4Ghz or AMD Athlon X2 5400+,AMD HD2600 or NVIDIA Geforce 8600,(2 GB),,"Windows Vista, Windows 7 or Windows 8",10 GB available space,Broadband Internet connection,Intel Core i7 or AMD FX Series,AMD HD6000 Series/Nvidia GTX500 Series minimum 1GB RAM,(4 GB),,"Windows Vista 64 bit, Windows 7 64 bit or Windows 8 64 bit",10 GB available space,Broadband Internet connection
F1 2015,Intel Core 2 Quad @ 3.0GHz or AMD Phenom II X4 @ 3.2GHz,Intel 4th Gen Iris Graphics or AMD HD5770 or NVIDIA GTS450,4 GB RAM,Version 11,Windows 7 64 bit or Windows 8 64 bit,20 GB available space,Broadband Internet connection,Intel Core i7 4770 or AMD FX 9370,Intel 5th Gen Iris Pro or AMD R9 290 or Nvidia GTX970,8 GB RAM,Version 11,Windows 7 64 bit or Windows 8 64 bit,20 GB available space,Broadband Internet connection
F1 2016,Intel Core i3 530 or AMD FX 4100,Nvidia GTX 460 or AMD HD 5870,8 GB RAM,Version 11,"64bit Versions of Windows 7, Windows 8, Windows 10",30 GB available space,Broadband Internet connection,Intel Core i5 4690 or AMD FX 8320,Nvidia GTX 980 or AMD R9 Fury,8 GB RAM,Version 11,"64bit Versions of Windows 7, Windows 8, Windows 10",30 GB available space,Broadband Internet connection
F1 2017,Intel Core i3 530 or AMD FX 4100,Nvidia GTX 460 or AMD HD 5870,8 GB RAM,Version 11,"64bit Versions of Windows 7, Windows 8, Windows 10",40 GB available space,Broadband Internet connection,Intel Core i5 4690 or AMD FX 8320,NVIDIA GTX 1070 or AMD RX 480,8 GB RAM,Version 11,"64bit Versions of Windows 7, Windows 8, Windows 10",40 GB available space,Broadband Internet connection
F1 2018,Intel Core i3 2130 or AMD FX 4300,Nvidia GT 640 or AMD HD 7750,8 GB RAM,Version 11,"64bit Versions of Windows 7, Windows 8, Windows 10",50 GB available space,Broadband Internet connection,Intel Core i5 8600K or AMD Ryzen 5 2600X,Nvidia GTX 1060 or AMD RX 580,8 GB RAM,Version 11,"64bit Versions of Windows 7, Windows 8, Windows 10",50 GB available space,Broadband Internet connection
F1 2019,Intel i3-2130 / AMD FX-4300,Nvidia GTX 460 / HD 7750,8 GB RAM,Version 11,"64 bit Versions of Windows 7, Windows 8, Windows 10",80 GB available space,Broadband Internet connection,Intel i5 9600k / AMD Ryzen 5 2600x,Nvidia GTX 1660ti / RX590,16 GB RAM,Version 12,64 bit Version of Windows 10,80 GB available space,Broadband Internet connection
F1 2020,Intel Core i3 2130 / AMD FX 4300,NVIDIA GT 640 / AMD HD 7750 (DirectX11 Graphics Card),8 GB RAM,,64 bit Windows 10,80 GB available space,,Intel Core i5 9600K / AMD Ryzen 5 2600X,NVIDIA GTX 1660 Ti / AMD RX 590 (DirectX12 Graphics Card),16 GB RAM,,64 bit Windows 10,80 GB available space,
F1 2021,Intel Core i3-2130 or AMD FX 4300,NVIDIA GTX 950 or AMD R9 280 | For Ray Tracing: GeForce RTX 2060 or Radeon RX 6700 XT,8 GB RAM,Version 12,Windows 10 64-bit (Version 1709) | For Ray Tracing: Windows 10 64-bit (Version 2004),80 GB available space,,Intel Core i5-9600K or AMD Ryzen 5 2600X,NVIDIA GTX 1660 Ti or AMD RX 590 | For Ray Tracing: GeForce RTX 3070 or Radeon RX 6800,16 GB RAM,Version 12,Windows 10 64-bit (Version 1709) | For Ray Tracing: Windows 10 64-bit (Version 2004),80 GB available space,
F1 22,Intel Core i3-2130 or AMD FX 4300 |For VR: Intel Core i5-9600k or AMD Ryzen 5 2600X,NVIDIA GTX 1050 Ti or AMD RX 470 | For Ray Tracing: GeForce RTX 2060 or Radeon RX 6700 XT | For VR: NVIDIA GTX 1660 Ti or AMD RX 590,8 GB RAM,Version 12,Windows 10 64-bit (Version 1909) | For Ray Tracing or VR: Windows 10 64-bit (Version 2004),80 GB available space,Broadband Internet connection,Intel Core i5-9600K or AMD Ryzen 5 2600X,NVIDIA GTX 1660 Ti or AMD RX 590 | For Ray Tracing: GeForce RTX 3070 or Radeon RX 6800 | For VR: NVIDIA RTX 2070 or AMD RX 6700 XT,16 GB RAM,Version 12,Windows 10 64-bit (Version 1909) | For Ray Tracing or VR: Windows 10 64-bit (Version 2004),80 GB available space,Broadband Internet connection
F1 23,Intel Core i3-2130 or AMD FX 4300 | For VR: Intel Core i5-9600k or AMD Ryzen 5 2600X,NVIDIA GTX 1050 Ti or AMD RX 470 | For Ray Tracing: GeForce RTX 2060 or Radeon RX 6700 XT | For VR: NVIDIA GTX 1660 Ti or AMD RX 590 | Driver NVIDIA 522.25 or AMD 23.2.1,8 GB RAM,Version 12,Windows 10 64-bit (Version 21H1 or higher),80 GB available space,Broadband Internet connection,Intel Core i5-9600K or AMD Ryzen 5 2600X,NVIDIA GTX 1660 Ti or AMD RX 590 | For Ray Tracing: GeForce RTX 3070 or Radeon RX 6800 | For VR: NVIDIA RTX 2070 or AMD RX 6700 XT | Driver NVIDIA 528.49 or AMD 23.2.1,16 GB RAM,Version 12,Windows 10 64-bit (Version 21H1 or higher),80 GB available space,Broadband Internet connection
F1 Manager 2022,Intel Core i5-4590 or AMD FX-8370,Nvidia GeForce GTX 960 or AMD R9 280x (3GB VRAM),8 GB RAM,,Windows 10 64-bit,30 GB available space,,Intel Core i7-7700 or AMD Ryzen 7 2700,GeForce GTX 1080 or Radeon RX 580 (4GB VRAM),16 GB RAM,,"Windows 10, 11 64-bit",30 GB available space,
F1 Manager 2023,Intel Core i5-4590 or AMD FX-8370,Nvidia GeForce GTX 960 or AMD R9 280x (3GB VRAM),8 GB RAM,,Windows 10 64-bit,30 GB available space,,Intel Core i7-7700 or AMD Ryzen 7 2700,GeForce GTX 1080 or Radeon RX 580 (4GB VRAM),16 GB RAM,,"Windows 10, 11 64-bit",30 GB available space,
F1 Online: The Game,Intel® Pentium® 4 2.8GHz or similar,NVIDIA® GeForce® 7600GT / AMD X800 PRO (or similar),1GB,,"Windows® XP SP3, Windows® Vista, Windows® 7 (+Windows® – Web browser)",2GB free disc space,2Mbit/s internet download speed,Intel® Core™2 Duo 3GHz,NVIDIA® GeForce® GTX 260 / ATI Radeon™ HD 4890,4GB,,Windows® 7 64-bit,2GB free disc space,2Mbit/s internet download speed
F1 Race Stars,Intel Core 2 Duo 2.4GHz or AMD Athlon X2 5400+,AMD HD2600 or NVIDIA Geforce 8600,2 GB RAM,10,Windows Vista or Windows 7,5 GB HD space space,,Intel Core i7/AMD Bulldozer,AMD HD6000 Series/Nvidia GTX500 Series,4 GB RAM,10,Windows Vista or Windows 7 64 bit,5 GB HD space,
Fable,,,,,,,,,,,,,,
Fable Anniversary,Intel 2GHz Core2 Duo / AMD Athlon 64 x2 2.4GHz,Radeon X1800/ Nvidia GeForce 7600GT,3 GB RAM,9.0c,Windows 7/8,10 GB available space,,Intel Core2 Quad 2.33GHz,Nvidia GeForce GTX 260,4 GB RAM,9.0c,Windows 7/8 64bit,10 GB available space,
Fable Fortune,Intel 2GHz Core2 Duo,Intel 4000 HD,3 GB RAM,,Win 7 64-bit,3 GB available space,,,,,,,,
Fable III,Intel Core 2 Duo 2GHz or AMD Athlon X2 4000+,NVidia 7600GT or ATI HD 2600 Pro,2GB,DirectX: 9.0c,"XP 32 SP3, Vista 32/64 , Win 7 32/64",12 GB of free space,Internet or LAN connection required for multiplayer,Intel Pentium 2.9Ghz Core 2 Duo or higher,Nvidia 260GTX 896MB or ATI 5770 1GB or higher,4GB,DirectX: 9.0c,Win 7,12 GB of free space,Internet or LAN connection required for multiplayer
Fable Legends,,,,,,,,,,,,,,
Fable: The Lost Chapters,1.4 GHz,64 MB shader capable video card required,256 MB,DirectX 9.0.c,Microsoft® Windows® XP,3 GB,,2 GHz,256 MB,512 - 1 GB,DirectX 9.0.c,Microsoft® Windows® XP,3 GB,
Fabular: Once Upon a Spacetime,2Ghz or better,DirectX 11 compatible graphics card,2 GB RAM,Version 11,Windows 7 SP1,500 MB available space,,,,,,,,
Face Noir,Pentium 2.0 GHz or higer,128MB or higher,1 GB RAM,9.0c,Windows XP/Vista/7/8,2 GB available space,,,,,,,,
Faces of War,2.0 GHz Pentium IV or equivalent,64 MB DirectX 9.0c-compliant (see supported list*),512 MB,DirectX 9.0c (included on disc),Windows 2000 / XP (only),2.5 GB,Broadband connection with 64 Kbps upstream or faster,3.0 GHz Pentium IV or equivalent,128 MB DirectX 9.0c-compliant (see supported list*),1 GB,DirectX 9.0c (included on disc),Windows 2000 / XP (only),2.5 GB,Broadband connection with 64 Kbps upstream or faster
Factorio,Dual core 3Ghz+,"DirectX 10.1 capable GPU with 512 MB VRAM - GeForce GTX 260, Radeon HD 4850 or Intel HD Graphics 5500",4 GB RAM,Version 11,"Windows 10, 8, 7, Vista (64 Bit)",3 GB available space,,Quad core 3Ghz+,"DirectX 11 capable GPU with 2 GB VRAM - GeForce GTX 750 Ti, Radeon R7 360",8 GB RAM,Version 11,"Windows 10, 8, 7 (64 Bit)",3 GB available space,
Factory Coin Mining,Quad core 3Ghz+,512MB Video Memory,4 GB RAM,,"Windows 10, 8, 7, Vista (32 Bit or 64 Bit)",1 GB available space,,Quad core 3Ghz+,2GB Video memory,8 GB RAM,,"Windows 10, 8, 7 (64 Bit)",1 GB available space,
Factory Town,,,1 GB RAM,Version 11,Windows 7 64-bit,250 MB available space,,,,2 GB RAM,Version 11,Windows 10 64-bit,250 MB available space,
Fade to Silence,Intel Core i5-2400/AMD FX-8320 or better,NVIDIA GeForce GTX 760 or AMD Radeon R9 270 (2gb or more),8 GB RAM,,Windows 7/8/10 64bit,30 GB available space,,Intel Core i7-3770/AMD FX-8350 or better,NVIDIA GeForce GTX 1060 or AMD Radeon RX 480,12 GB RAM,,Windows 10 64bit,30 GB available space,
Fae Farm,Intel Core i3-4160 / AMD A8-7600,NVIDIA GeForce GTX 460 / AMD HD 6850 / Intel UHD620,8 GB RAM,Version 11,Windows 10 64-bit,5 GB available space,,Intel i3-2100 or AMD FX-6300,"Nvidia GeForce GTX 660, AMD Radeon HD 7870",8 GB RAM,Version 11,Windows 10 64-bit,5 GB available space,
Fae Tactics,Intel Core i5-650 | AMD Phenom II X4 965,DirectX10 graphics adapter with 512 MB VRAM,2 GB RAM,Version 10,Windows 7,1 GB available space,,,,,,,,
Faeland,,,,,,,,,,,,,,
